model,axis,mean,std,min,max
True trajectory,x,-2.053640729593292,7.44054956106797,-16.695222938370872,15.023324631541485
True trajectory,y,-1.8049614713232214,8.804315988177015,-21.765225197403915,18.813248082872892
True trajectory,z,22.636713236339713,9.601621001186773,9.222095706025279,42.16446607171778
Imperfect physics,x,-2.374150618843265,7.029147646769766,-12.677274385763473,16.655155603320573
Imperfect physics,y,-2.2441589189999522,8.036898895685336,-14.984092335476308,21.78466686684255
Imperfect physics,z,21.536438742307276,8.607047165931926,6.3715028937082225,40.44341303986869
Pure ML Residual MLP,x,-1.2821357433353857,6.961871273010722,-17.75778765823485,14.695652323069707
Pure ML Residual MLP,y,-1.655254423804656,8.737630495289443,-23.505495047699487,18.374076691131442
Pure ML Residual MLP,z,20.034099160922565,9.621497971736174,5.623341105997217,40.432140751561725
Hybrid RF,x,-2.066020266583971,7.432810724532386,-16.579754798900492,15.059494432572446
Hybrid RF,y,-1.802267622329975,8.791784213088116,-21.557084407239387,18.87516618094004
Hybrid RF,z,22.72293378614852,9.531471460612089,9.510539295864993,41.9333177193021
Hybrid MLP,x,-2.0525724514746,7.440758391269322,-16.71086407766973,15.027713597638016
Hybrid MLP,y,-1.8037515663417782,8.806399060814265,-21.794464905442712,18.81992311881508
Hybrid MLP,z,22.63461339384412,9.605982805072312,9.192693358806395,42.19410687044203
