model,step,cumulative_rmse
LSTM_Phase1,1,0.254645342773542
LSTM_Phase1,2,0.421427569288884
LSTM_Phase1,3,0.604862259564632
LSTM_Phase1,4,0.806193726728943
LSTM_Phase1,5,1.02534767850069
LSTM_Phase1,6,1.26140637694358
LSTM_Phase1,7,1.51298729956495
LSTM_Phase1,8,1.77835219818642
LSTM_Phase1,9,2.05564927518922
LSTM_Phase1,10,2.34316986051861
LSTM_Phase1,11,2.63921605231281
LSTM_Phase1,12,2.94239983382141
LSTM_Phase1,13,3.25147665673346
LSTM_Phase1,14,3.56564380348773
LSTM_Phase1,15,3.88418640581839
LSTM_Phase1,16,4.20678071093289
LSTM_Phase1,17,4.53342988631649
LSTM_Phase1,18,4.86432571867848
LSTM_Phase1,19,5.19998451624997
LSTM_Phase1,20,5.54116248394817
LSTM_Phase1,21,5.88894474282027
LSTM_Phase1,22,6.24477293130834
LSTM_Phase1,23,6.61059187572794
LSTM_Phase1,24,6.98884637297465
LSTM_Phase1,25,7.38277143144231
LSTM_Phase1,26,7.79646882720697
LSTM_Phase1,27,8.23504860573964
LSTM_Phase1,28,8.70478027033262
LSTM_Phase1,29,9.21312370710618
LSTM_Phase1,30,9.7687755530569
LSTM_Phase1,31,10.3816614963907
LSTM_Phase1,32,11.0627725444646
LSTM_Phase1,33,11.8238148756969
LSTM_Phase1,34,12.6770897639343
LSTM_Phase1,35,13.6349969303083
LSTM_Phase1,36,14.7095092546297
LSTM_Phase1,37,15.9116330427976
LSTM_Phase1,38,17.2505788338948
LSTM_Phase1,39,18.7329418630109
LSTM_Phase1,40,20.3619315088113
LSTM_Phase1,41,22.1372877158795
LSTM_Phase1,42,24.0558075303192
LSTM_Phase1,43,26.1123946374409
LSTM_Phase1,44,28.3014404154093
LSTM_Phase1,45,30.6176108765182
LSTM_Phase1,46,33.0563985980437
LSTM_Phase1,47,35.6140073123824
LSTM_Phase1,48,38.2868991273969
LSTM_Phase1,49,41.0711924710356
LSTM_Phase1,50,43.9623745776668
LSTM_Phase1,51,46.9552410393805
LSTM_Phase1,52,50.0439453061205
LSTM_Phase1,53,53.2226815708267
LSTM_Phase1,54,56.4859709927847
LSTM_Phase1,55,59.8294226803828
LSTM_Phase1,56,63.2504821867428
LSTM_Phase1,57,66.7495427026923
LSTM_Phase1,58,70.3315225501546
LSTM_Phase1,59,74.0065126952368
LSTM_Phase1,60,77.7866100710298
LSTM_Phase1,61,81.678515904758
LSTM_Phase1,62,85.6809249195859
LSTM_Phase1,63,89.787919178859
LSTM_Phase1,64,93.9913417407332
LSTM_Phase1,65,98.2819883018761
LSTM_Phase1,66,102.650258078431
LSTM_Phase1,67,107.086384952698
LSTM_Phase1,68,111.580918475905
LSTM_Phase1,69,116.124752421796
LSTM_Phase1,70,120.70959153104
LSTM_Phase1,71,125.327829064937
LSTM_Phase1,72,129.972542645237
LSTM_Phase1,73,134.637679637262
LSTM_Phase1,74,139.317937426656
LSTM_Phase1,75,144.008831057833
LSTM_Phase1,76,148.70665748652
LSTM_Phase1,77,153.408045975265
LSTM_Phase1,78,158.110284066376
LSTM_Phase1,79,162.811140491374
LSTM_Phase1,80,167.508795137196
LSTM_Phase1,81,172.201959072172
LSTM_Phase1,82,176.8892511503
LSTM_Phase1,83,181.569904984727
LSTM_Phase1,84,186.243047285163
LSTM_Phase1,85,190.908432533586
LSTM_Phase1,86,195.566699460276
LSTM_Phase1,87,200.219559295079
LSTM_Phase1,88,204.869119026749
LSTM_Phase1,89,209.516618742975
LSTM_Phase1,90,214.161721883955
LSTM_Phase1,91,218.803536874365
LSTM_Phase1,92,223.441146287732
LSTM_Phase1,93,228.073047294876
LSTM_Phase1,94,232.696851972741
LSTM_Phase1,95,237.308872951405
LSTM_Phase1,96,241.904176643675
LSTM_Phase1,97,246.477254135024
LSTM_Phase1,98,251.022791358316
LSTM_Phase1,99,255.536259125183
LSTM_Phase1,100,260.013997786253
LSTM_Phase1,101,264.453251380935
LSTM_Phase1,102,268.851707282141
LSTM_Phase1,103,273.207707831155
LSTM_Phase1,104,277.519843163108
LSTM_Phase1,105,281.78711594196
LSTM_Phase1,106,286.008786829164
LSTM_Phase1,107,290.184628492006
LSTM_Phase1,108,294.314908458014
LSTM_Phase1,109,298.400539299848
LSTM_Phase1,110,302.443014199502
LSTM_Phase1,111,306.444490151081
LSTM_Phase1,112,310.407454503902
LSTM_Phase1,113,314.334352195566
LSTM_Phase1,114,318.227334009805
LSTM_Phase1,115,322.088282562918
LSTM_Phase1,116,325.919020491914
LSTM_Phase1,117,329.721212894615
LSTM_Phase1,118,333.496406128654
LSTM_Phase1,119,337.245691392169
LSTM_Phase1,120,340.969636054741
LSTM_Phase1,121,344.668350300684
LSTM_Phase1,122,348.341540974208
LSTM_Phase1,123,351.988769593997
LSTM_Phase1,124,355.60984615032
LSTM_Phase1,125,359.205026850972
LSTM_Phase1,126,362.774946198289
LSTM_Phase1,127,366.320739251274
LSTM_Phase1,128,369.84394493374
LSTM_Phase1,129,373.34640939203
LSTM_Phase1,130,376.830182368522
LSTM_Phase1,131,380.297397198984
LSTM_Phase1,132,383.750232472893
LSTM_Phase1,133,387.190774765462
LSTM_Phase1,134,390.621016637484
LSTM_Phase1,135,394.042774673481
LSTM_Phase1,136,397.457651736127
LSTM_Phase1,137,400.866932274895
LSTM_Phase1,138,404.271626608496
LSTM_Phase1,139,407.672486044305
LSTM_Phase1,140,411.07002455838
LSTM_Phase1,141,414.464621102979
LSTM_Phase1,142,417.856578180941
LSTM_Phase1,143,421.246122354873
