model,step,cumulative_rmse
LSTM_Phase3_W20,1,0.0839910438334448
LSTM_Phase3_W20,2,0.13242464249268113
LSTM_Phase3_W20,3,0.18056359732878421
LSTM_Phase3_W20,4,0.22853759708889915
LSTM_Phase3_W20,5,0.27644371948586594
LSTM_Phase3_W20,6,0.3244150695975555
LSTM_Phase3_W20,7,0.3726262790779783
LSTM_Phase3_W20,8,0.4212848874340084
LSTM_Phase3_W20,9,0.4706204816338749
LSTM_Phase3_W20,10,0.5208754001013493
LSTM_Phase3_W20,11,0.5722981237012222
LSTM_Phase3_W20,12,0.6251386822618774
LSTM_Phase3_W20,13,0.6796463349305147
LSTM_Phase3_W20,14,0.7360682405252629
LSTM_Phase3_W20,15,0.7946490625516549
LSTM_Phase3_W20,16,0.8556305805101295
LSTM_Phase3_W20,17,0.9192511764135585
LSTM_Phase3_W20,18,0.9857446762458297
LSTM_Phase3_W20,19,1.0553387550142888
LSTM_Phase3_W20,20,1.1282525890942117
LSTM_Phase3_W20,21,1.2046940060458435
LSTM_Phase3_W20,22,1.2848563211187718
LSTM_Phase3_W20,23,1.368914998812645
LSTM_Phase3_W20,24,1.4570242078052082
LSTM_Phase3_W20,25,1.549313525001099
LSTM_Phase3_W20,26,1.6458847693140783
LSTM_Phase3_W20,27,1.7468092506969628
LSTM_Phase3_W20,28,1.8521251993162864
LSTM_Phase3_W20,29,1.9618353445437737
LSTM_Phase3_W20,30,2.0759051594505
LSTM_Phase3_W20,31,2.194261218228351
LSTM_Phase3_W20,32,2.3167900047211067
LSTM_Phase3_W20,33,2.4433373135472554
LSTM_Phase3_W20,34,2.5737080961392054
LSTM_Phase3_W20,35,2.7076669658637806
LSTM_Phase3_W20,36,2.8449394674872135
LSTM_Phase3_W20,37,2.985213933092179
LSTM_Phase3_W20,38,3.128144160574936
LSTM_Phase3_W20,39,3.2733528151476956
LSTM_Phase3_W20,40,3.4204355500734476
LSTM_Phase3_W20,41,3.568965823329712
LSTM_Phase3_W20,42,3.718500360218783
LSTM_Phase3_W20,43,3.86858515913819
LSTM_Phase3_W20,44,4.018761998677365
LSTM_Phase3_W20,45,4.168575295431118
LSTM_Phase3_W20,46,4.317579296161941
LSTM_Phase3_W20,47,4.465345214530012
LSTM_Phase3_W20,48,4.611468336119271
LSTM_Phase3_W20,49,4.755574807691263
LSTM_Phase3_W20,50,4.8973278694708196
LSTM_Phase3_W20,51,5.0364333174002756
LSTM_Phase3_W20,52,5.172644018901757
LSTM_Phase3_W20,53,5.305763256899412
LSTM_Phase3_W20,54,5.435646773811603
LSTM_Phase3_W20,55,5.562203422650456
LSTM_Phase3_W20,56,5.68539446309857
LSTM_Phase3_W20,57,5.8052315146399724
LSTM_Phase3_W20,58,5.921773261196138
LSTM_Phase3_W20,59,6.035121244957184
LSTM_Phase3_W20,60,6.145414871732003
LSTM_Phase3_W20,61,6.252825887434653
LSTM_Phase3_W20,62,6.357552734307411
LSTM_Phase3_W20,63,6.4598148574281105
LSTM_Phase3_W20,64,6.559847313084324
LSTM_Phase3_W20,65,6.657895845905602
LSTM_Phase3_W20,66,6.754212443935214
LSTM_Phase3_W20,67,6.849051509855024
LSTM_Phase3_W20,68,6.942666711577178
LSTM_Phase3_W20,69,7.035308356412428
LSTM_Phase3_W20,70,7.127221327869513
LSTM_Phase3_W20,71,7.218643477705074
LSTM_Phase3_W20,72,7.3098043572266125
LSTM_Phase3_W20,73,7.400924268192122
LSTM_Phase3_W20,74,7.492213503071209
LSTM_Phase3_W20,75,7.583871651170459
LSTM_Phase3_W20,76,7.676087014281123
LSTM_Phase3_W20,77,7.769036022921907
