feature,equation,coefficient_error
1,dx_dt,0.0
x,dx_dt,0.005688302446802851
y,dx_dt,-0.0056880087133830415
z,dx_dt,0.0
x^2,dx_dt,0.0
xy,dx_dt,0.0
xz,dx_dt,0.0
y^2,dx_dt,0.0
yz,dx_dt,0.0
z^2,dx_dt,0.0
1,dy_dt,0.0
x,dy_dt,-0.04834372276510024
y,dy_dt,0.009421377949389687
z,dy_dt,0.0
x^2,dy_dt,0.0
xy,dy_dt,0.0
xz,dy_dt,0.0013718141644215587
y^2,dy_dt,0.0
yz,dy_dt,0.0
z^2,dy_dt,0.0
1,dz_dt,0.0
x,dz_dt,0.0
y,dz_dt,0.0
z,dz_dt,0.002017005646405501
x^2,dz_dt,0.0
xy,dz_dt,-0.0007530042699649409
xz,dz_dt,0.0
y^2,dz_dt,0.0
yz,dz_dt,0.0
z^2,dz_dt,0.0
